300
1 48 528 0
1 80 528 0
1 112 528 0
1 112 560 0
1 80 560 0
1 48 560 0
1 16 560 0
1 16 592 0
1 48 592 0
1 80 592 0
1 112 592 0
1 112 624 0
1 80 624 0
1 16 624 0
1 48 624 0
1 16 656 0
1 48 656 0
1 80 656 0
1 112 656 0
2 16 496 0
2 48 496 0
2 80 496 0
2 112 496 0
1 16 528 0
8 144 656 0
8 144 624 0
8 144 592 0
8 144 560 0
8 144 528 0
9 144 496 0
11 368 624 0
11 400 624 0
11 432 624 0
11 464 624 0
11 592 624 0
11 624 624 0
11 656 624 0
11 688 624 0
11 528 528 0
11 432 432 0
11 624 432 0
1 16 688 0
1 80 688 0
1 48 688 0
1 112 688 0
1 112 720 0
1 80 720 0
1 48 720 0
1 16 720 0
1 16 752 0
1 48 752 0
1 80 752 0
1 112 752 0
1 80 784 0
1 48 784 0
1 16 784 0
1 112 784 0
8 144 688 0
8 144 720 0
8 144 752 0
8 144 784 0
1 880 720 0
1 880 752 0
1 880 784 0
1 912 784 0
1 912 752 0
1 912 720 0
1 944 720 0
1 944 752 0
1 944 784 0
2 880 688 0
2 912 688 0
2 944 688 0
3 848 688 0
4 848 720 0
4 848 752 0
4 848 784 0
9 976 688 0
8 976 720 0
8 976 752 0
8 976 784 0
11 1008 688 0
11 1040 688 0
11 1072 688 0
11 1104 688 0
11 1136 688 0
11 1168 688 0
1 1232 720 0
1 1232 752 0
1 1232 784 0
1 1264 784 0
1 1264 752 0
1 1264 720 0
1 1296 720 0
1 1296 752 0
1 1296 784 0
2 1296 688 0
2 1264 688 0
2 1232 688 0
3 1200 688 0
4 1200 720 0
4 1200 752 0
4 1200 784 0
11 528 336 0
11 496 336 0
11 560 336 0
11 432 240 0
11 400 240 0
11 368 240 0
11 336 240 0
11 336 208 0
11 336 176 0
11 336 144 0
11 624 240 0
11 656 240 0
11 688 240 0
11 720 240 0
11 720 208 0
11 720 176 0
1 1328 784 0
1 1360 784 0
1 1392 784 0
1 1424 784 0
1 1456 784 0
1 1488 784 0
1 1520 784 0
1 1552 784 0
1 1584 784 0
1 1584 752 0
1 1552 752 0
1 1488 752 0
1 1520 752 0
1 1456 752 0
1 1424 752 0
1 1392 752 0
1 1360 752 0
1 1328 752 0
1 1328 720 0
1 1360 720 0
1 1392 720 0
1 1424 720 0
1 1456 720 0
1 1488 720 0
1 1520 720 0
1 1552 720 0
1 1584 720 0
2 1360 688 0
2 1392 688 0
2 1328 688 0
2 1424 688 0
2 1456 688 0
2 1488 688 0
2 1520 688 0
2 1552 688 0
2 1584 688 0
1 1520 656 -1
1 1488 656 -1
1 1456 656 -1
1 1424 656 -1
1 1424 624 -1
1 1456 624 -1
1 1488 624 -1
1 1520 624 -1
2 1520 592 -1
2 1488 592 -1
2 1456 592 -1
2 1424 592 -1
3 1392 592 -1
4 1392 624 -1
4 1392 656 -1
8 1552 656 -1
8 1552 624 -1
9 1552 592 -1
9 1488 496 -2
8 1488 528 -2
8 1488 560 -2
2 1456 496 -2
2 1424 496 -2
2 1360 496 -2
2 1392 496 -2
2 1328 496 -2
1 1456 528 -2
1 1456 560 -2
1 1424 560 -2
1 1424 528 -2
1 1392 528 -2
1 1392 560 -2
1 1360 560 -2
1 1360 528 -2
1 1328 528 -2
1 1328 560 -2
1 1328 592 -2
1 1360 592 -2
1 1360 624 -2
1 1328 624 -2
1 1328 656 -2
1 1360 656 -2
3 1296 496 -2
4 1296 528 -2
4 1296 560 -2
4 1296 592 -2
4 1296 624 -2
4 1296 656 -2
4 880 656 -2
4 880 624 -2
4 880 592 -2
4 880 560 -2
4 880 528 -2
3 880 496 -2
2 912 496 -2
1 912 528 -2
1 912 560 -2
1 912 592 -2
1 912 624 -2
1 912 656 -2
8 944 656 -2
8 944 624 -2
8 944 592 -2
8 944 560 -2
8 944 528 -2
9 944 496 -2
11 976 496 -2
11 1008 496 -2
11 1040 496 -2
11 1072 496 -2
11 1104 496 -2
11 1136 496 -2
11 1168 496 -2
11 1200 496 -2
11 1232 496 -2
11 1264 496 -2
19 80 400 -2
11 400 432 0
11 368 432 0
11 656 432 0
11 688 432 0
11 560 528 0
11 496 528 0
11 912 368 0
11 1008 272 0
11 1104 176 0
11 784 80 0
11 1200 176 0
11 1296 176 0
11 1392 176 0
11 720 80 0
11 752 80 0
23 144 144 0
24 176 176 0
24 112 176 0
24 176 112 0
24 112 112 0
24 528 432 0
24 400 336 0
24 528 240 0
24 656 336 0
23 752 208 0
23 1040 592 0
23 1136 592 0
24 1008 624 0
24 1104 560 0
24 1072 560 0
24 1168 624 0
24 1232 432 0
24 1168 368 0
24 1104 432 0
24 1040 368 0
24 976 432 0
24 1008 176 0
24 912 272 0
24 1104 80 0
24 1200 80 0
24 1296 80 0
24 1392 80 0
24 1552 272 0
23 1488 80 0
24 1552 208 0
24 1552 144 0
23 528 112 0
24 464 144 0
24 592 144 0
20 1072 624 0
20 1392 400 0
20 400 176 0
20 656 368 0
20 400 368 0
20 656 560 0
20 400 560 0
20 624 176 0
11 816 240 0
11 816 208 0
11 816 176 0
11 816 144 0
11 816 112 0
11 816 80 0
24 656 528 0
24 400 528 0
24 784 176 0
24 752 144 0
24 784 240 0
